Unnamed: 0,label,text,__index_level_0__
1183,2,"Die Tec de Monterrey ist die renommierteste Universität Mexikos und eine der anerkanntesten in Lateinamerika. Dar Campus gleich einem Park, es gibt Tiere, Shops, und Restaurants. Die Bibliothek ist neu und verfügt über eine große Terrasse mit einer großartigen Aussicht. Die Uni ist insgesamt sehr gut ausgestattet und die Räumlichkeiten sind aufgrund der entsprechenden Gruppengrößen wesentlich kleiner._x000D_
_x000D_
Vorlesungen, Übungen, und Tutorien sind in einer Veranstaltung kombiniert. Jeder Kurs findet zweimal die Woche für jeweils 90 Minuten statt. Die Gruppen sind wesentlich kleiner als in Mannheim (ca. 30 Leute), es wird viel interagiert, und es gibt viele Assignments und Gruppenprojekte. Man sollte sich darüber bewusst sein, dass einige Mitstudierende den Gruppenprojekten eine eher geringe Motivation entgegenbringen, was zu einem erheblichen Mehraufwand für einen selbst führen kann. In meinem Fall hat dies keine Note negativ beeinflusst. Dennoch lohnt es sich Gruppenmitglieder, wenn möglich, gut auszuwählen._x000D_
_x000D_
Es gibt insgesamt drei Partial Grades, welche am Ende in der Regel gleichermaßen in die Abschlussnote einfließen. Der Workload ist also sehr gut über das Semester verteilt und es gibt keine mit der in Mannheim vergleichbare Klausurenphase am Semesterende. In meinem Fall war das Semesterende sogar der am wenigsten aufwendigste Teil des Semesters.",989
881,2,"In den Niederlanden sind die Semester nochmal in zwei Blöcke unterteilt. Ein Block dauert 7 Wochen und darauf folgt dann eine zweiwöchige Klausurenphase. In der Regel belegen holländische Studenten 3 Kurse pro Block. Für jeden Kurs gibt es in der Regeln 5 ECTS, bei manchen blockübergreifenden Kursen 10 ECTS. Das Pensum von 3 Kursen pro Block ist gut zu schaffen, wobei die Struktur der Lernens sehr anders ist als in Mannheim. Viele Kurse haben nicht nur Klausuren sondern auch noch zusätzliche Projekte, die in die Note zählen. Daraus entstehen sehr viele Gruppenarbeiten und es gibt ständig Abgaben. Das Kursniveau ist insgesamt etwas niedriger als in Mannheim und mit dem Vorwissen gut zu bewältigen. Die stressigen Klausurphasen halten sich auch eher in Grenzen, da schon so viel während des Semesters gemacht wird. Ich habe die Vorlesungen als sehr viel interaktiver als in Mannheim erlebt. Die Professoren stellen sich mit Vornamen vor und es wird aktiv dazu angeregt mitzudenken und zu diskutieren.  Man kann als Studierender an der FEB an verschiedenen Projekten den sogenannten „Learning Communities“ teilnehmen. Diese Projekte geben keine zusätzlichen ECTS, allerdings arbeitet man in engem Kontakt mit anderen Studierenden und Professoren an einer praktischen Applikation eines theoretischen Themas. Ich habe an einer Learning Community teilgenommen und in einer Gruppe von insgesamt 3 Stundenden und 2 Professoren ein Konzept erarbeitet, das wir am Ende des Semesters einem Unternehmen vorstellen konnten. Ich habe dadurch sehr viel praktisches Wissen erlangt zu einem Thema, was nicht einmal direkt in meinen Fachbereich gehört. Die Professoren haben uns bei dem Projekt lediglich begleitet und uns freie Hand bezüglich des  Arbeitspensums und Ausgestaltung gelassen. Ich kann jedem empfehlen sich zumindest nach diesen Projekten umzuschauen. Vielleicht ist ja ein passendes Thema dabei.  Der Zernike Campus der FEB ist sehr groß und es gibt eine kleine Mensa und einen Albert Heijn to go direkt daneben. Direkt neben dem Campus ist auch der Sportkomplex der Uni mit mehreren Sporthallen und Tennis- und Fußballplätzen.  In den Niederlanden sprechen selbst die Busfahrer super Englisch. Es ist nicht nötig Holländisch zu sprechen oder es unbedingt noch zu lernen um im Alltag klar zu kommen. Von der Uni gibt es mehrere Sprachkurse für Holländisch mit deutschen Vorkenntnissen. Die Sprachkurse sind relativ zeitaufwendig und man sollte sich gut überlegen ob man einen macht. Sie starten immer wieder neu wenn ein neuer Block anfängt.",736
1019,1,"Das Kursangebot ist im Kurskatalog zu finden und ist nach Studiengang unterschiedlich groß, wenn man auf Englisch die Kurse belegt. 
Das Niveau der Kurse war anspruchsvoll, aber nicht überfordernd. Meiner Auffassung nach wurde sehr viel wert auf Gruppenarbeit und das intensive Lesen der Texte vor der jeweiligen Stunde gelegt, welches die Kurse zeitaufwendig machen kann, jedoch machbar. Die Art der Prüfung wird im Kurskatalog direkt von Anfang an angeben, also es sind keine Überraschungen zu erwarten. Ich hatte zwei Portfolios und eine mündliche Prüfung abzulegen, welche keine all zu große Hürde darstellten.
Alle Kurse betragen 10 etcs an der Gastuniversität. 
Kurse die ich belegt hatten waren:

Arts Management, Policy and Practice 
Angerechnet als IKW- Modul 

Dieser Kurs verschafft einen interessanten Einblick in das Managen von einer Kunsteinrichtung. Besonders machte den Kurs die beinahe wöchentlichen Gastvorträge von verschieden Managern, die von ihren Erfahrungen und den Herausforderungen im Alltag berichtet hatten. Dieser Kurs ist auf Gruppenarbeit ausgelegt. Es kostet viel Zeit ein Portfolio mit seiner Gruppe zu erarbeiten, aber hat dennoch Spaß gemacht. Die Kurssprache war Englisch und stark von internationalen Studenten besucht, so dass sich ein 50/50 Verhältnis zwischen Dänen und internationalen Studenten ergeben hatte. Ich persönlich kann den Kurs empfehlen, weil er nicht zu trocken ist wie viele andere Kurse. 

Emotions 
Angerechnet als HS Praktische Philosophie 

Dieser Kurs ist auf Theorien über Emotionen basiert, heißt in Eigenarbeit wurden Texte gelesen und die im Kurs diskutiert bzw. besprochen. Durch ein offenes und freundliches Klima in diesem Kurs kamen interessante Diskussionen zu Stande mit vielen verschiedenen Ansätzen, da der Kurs von vielen Studenten mit verschiedene Kultur und Herkunft besucht wurde. Auch hier ist der Kurs auf Englisch gehalten worden. Die Texte sind zeitweise ein bisschen anspruchsvoller gewesen, aber das war dem Professor bewusst und somit wurden die genauer erklärt. 
Weiter empfehlen würde ich den Kurs für alle die Interesse an Theorien und das jeweilige Vergleichen dieser haben. Ebenfalls war dieser Kurs auf Englisch gehalten worden.

Philosophical aesthetics 
Angerechnet als HS Philosophie nach Wahl 

Ein Kurs, welcher ein sehr großen Zusammenhang mit der Kunst hat, also ein Interesse an jeglicher Kunst ist hilfreich. Verschiedene Ansichten von Philosophen über die Ästhetik wurden anhand von Kunst analysiert und diskutiert in dem Kurs. Eine große Herausforderung für mich ohne künstlerischen Hintergrund, was mich auch manchmal verzweifeln lassen hat. Jedoch ist die mündliche Prüfung am Ende des Semesters auch ohne das vorherige Kunst wissen sehr gut zu meistern. Der Kurs wird hauptsächlich von Dänen besucht, aber dennoch ist die Kurssprache Englisch.


Die Vorlesung sind relativ lange hier in Dänemark, ein Kurs geht bis zu vier Stunden, jedoch wird nach jeder Dreiviertelstunde eine 15 Minuten Pause eingebaut. Durch die Pausen  geht die Zeit meist relativ schnell um und die Pausen bieten sich super an um Kontakt mit andern zuknüpfen. Das Semester sonst ist recht zeitgleich und ähnlich aufgebaut wie in Mannheim, so das in der Hinsicht keine Überraschungen auf einem zu kommen. 
Das Leben auf dem Campus ist ausgezeichnet in Aarhus. Es gibt viele verschiedene Mensen in dem wirklich gutes und auch vegetarisches Essen finden kann. Ein Bar gibt es auch an der man einen uni Tag ausklingen lassen kann. 
Im Großen und Ganzen ist die Uni echt schön und sorgen wegen nicht so guten Englisch Brauch man sich nicht machen.",849
51,2,"Ich habe insgesamt 4 Kurse belegt, wovon ein Englisch Kurs dabei war. Das Level ist moderat und das System etwas verschulter, so waren wir in meiner English-Class 16 Studenten und in der Green Venture Class 50 Studenten, in welcher der Professor beeindruckender Weise alle Namen zu Beginn gelernt hatte. Die Semesterzeiten sind identisch zu Mannheim._x000D_
All in all: man hat mehr Gruppenarbeiten und die Endnote besteht größtenteils aus Midterms, Projekten oder Sonstigem und dem Final Exam, welche dann prozentual gewichtet werden. Dies ist aber sehr abhängig von den gewählten Kursen. Grob kann man sagen dass die meisten Management, Marketing und HR Kurse Gruppenprojekte beinhalten, während die Finance- und Accounting Kurse maximal noch ein Midterm gewichtet hatten. Zu Beginn sollte man sich dies gut überlegen und ggf. keine 5 Kurse mit Gruppenprojekten wählen, denn das könnte sehr stressig werden. Nichtsdestotrotz muss man dabei einfach seine Vorlieben beachten. In Green Ventures hatte ich z.B. “nur” ein Gruppenprojekt und ein Self-Assignment am Ende des Semesters sowie die Mitarbeit wurde stark gewertet, aber kein Final Exam. Diese ganzen Informationen werden einem zu Beginn bei der Kurswahl bereit gestellt und man kann sowohl exakte Kursbeschreibungen, sowie die jeweiligen Assessment Strategien einsehen bevor man sich entscheiden und wählen muss. Größtenteils besteht auch Anwesenheitspflicht bzw. die Teilnahme an den Kursen wird mitgewichtet (meisten zwischen 5-10%)._x000D_
Wie schon erwähnt belegte ich einen Englisch Kurs, in welchem wir viele interessante Themen über Irland, die Iren und all die irischen Kulturgüter besprochen haben, was immer super interessant war. Dann belegte ich meinen absoluten Lieblingskurs Green Ventures, in welchem der Professor all die Themen mit einer ansteckenden Leidenschaft vermittelte, so dass ich mich jede Woche aufs Neue freute die 2h Vorlesung von ihm zu besuchen. Daneben belegte ich noch Leadership&Change Management, welches auch interessant war, ein Gruppenprojekt beinhaltete und der Professor bemühte sich immer wieder Bezüge zur Praxis herzustellen. Abschließend belegte ich noch Principles of Finance, was in Mannheim mit Finance (BWL) oder Finanzwirtschaft (Wipäd) gleichzusetzen ist. Diesen Kurs belegen auch sehr viele Studenten am UCD, deshalb ist es vom Ablauf ähnlich wie in Mannheim.",44
503,1,"Für VWLer gibt es nicht allzu viele Kurse an der HKUST, die auch von der Uni Mannheim angerechnet werden können. Hierzu ist es am besten die Liste der in der Vergangenheit akzeptierten Kurse auf der Abteilungsseite mit dem Kursangebot der HKUST zu vergleichen. Die Anmeldung der einzelnen Kurse ist recht kompliziert, da es hier unterschiedliche Systeme gibt, die allesamt nicht sehr intuitiv sind. Hierzu findet jedoch eine Infoveranstaltung statt und die Betreuer der SBM helfen bei jeglichen Problemen und können selbst auf die Systeme zugreifen und Änderungen für einen vornehmen. Obwohl man zu Beginn häufig nicht seine Wunschkurse erhält, braucht man keine Panik zu bekommen, da viele Locals sich erst in viele Kurse einschreiben und diese dann wieder abgeben, was es vielen Wartelisteplätzen ermöglicht in den Kurs zu kommen. Teilweise war es jedoch auch nötig die Professoren direkt zu kontaktieren, um die Ursache für eine Ablehnung zu erfahren und gegebenenfalls Nachweise über Vorkenntnisse nachzureichen. Ich bin in 2 meiner 3 Kurse über die Warteliste aufgenommen worden, jedoch sollte man sich Gedanken über Alternativen machen, falls dies nicht funktioniert. In den ersten zwei Vorlesungswochen lassen sich noch Kursänderungen vornehmen. Über den regulären Vorlesungsalltag kann ich wenig sagen, da alle Veranstaltungen online stattgefunden haben und der Großteil der Studenten nicht auf dem Campus waren. Insgesamt lässt sich aber sagen, dass die Vorlesungen deutlich interaktiver sind und häufig Teilnahme mit in die Gesamtnote einfließt (5-10%), jedoch hatte ich auch Kurse, bei denen weder Präsenz noch aktive Teilnahme gefordert waren. Die Notenzusammensetzung lässt sich jedoch im Vorhinein nachschauen und sollte eine Rolle bei der Kurswahl spielen, da häufig sehr umfangreiche Assignments zu lösen sind. Da alle Kurse auf Englisch abgehalten wurden, ergaben sich hier keine Probleme.",421
1040,1,"Erst mal kurz zum Organisatorischen: 
Die Semesterzeiten in Xiamen sind in der Regel Mitte September bis Mitte Januar. Eine wirkliche Einführungswoche gab es an der Universität nicht und die Kurswahl musste damals zwei Wochen nach Semesterstart abgegeben werden, deswegen ist eine frühere Anreise nicht wirklich notwendig. 
Ihr studiert in Xiamen am WISE, nicht an der School of Economics selbst. Hat den Vorteil, dass viel weniger Austauschstudenten auf einen Koordinator anfallen und ihr bei der Kurswahl Priorität habt, da muss man sich also keine Sorgen machen.   
Die Koordinatorin war auf Anfrage sehr hilfreich, jedoch muss man auch Nachfragen, da man die Informationen sonst nicht bekommt. Gerade in den ersten Wochen, wenn man das Bankkonto eröffnen muss, gegebenenfalls eine Aufenthaltsgenehmigung beantragen möchte und noch mit der Wohnungssuche beschäftigt ist, kann das ein bisschen anstrengend sein.

Studium: 
Die Kurse in Xiamen bestehen grundsätzlich aus zwei Vorlesungen die Woche und werden euch mit 6ECTS angerechnet. Im Vergleich zu Mannheim erfordern die Kurse deutlich mehr regelmäßige Arbeit. Viele der Kurse beinhalten Hausaufgaben und Präsentation neben den bei uns üblichen Mid-Terms und Finals. Die Anwesenheitspflicht ist eigentlich eher eine Formalie. Offiziell muss man ⅔ aller Veranstaltungen besuchen, man kann aber auch einfach den Professoren Bescheid geben, wenn man verreisen möchte. Abgesehen davon, wird in den meisten Fächern Anwesenheit nicht aktiv überprüft.  

Die Qualität der Kurse und das Englisch der Professoren schwankt dabei stark. 
Ich habe in Xiamen vier Kurse belegt und würde für ein Auslandssemester auch nicht mehr empfehlen, damit genug Zeit für Freizeit und Kultur bleibt.",868
1052,2,"Mir fiel das Studium an der Kelley School of Business um einiges leichter als in Mannheim. Man hat zwar unter der Woche teilweise ziemlich viel zu tun, da ständig irgendwelche Abgaben (Assignments, Group Presentations, Essays) zu leisten sind. Ebenso gibt es keine Übungen und Tutorien, sondern nur zweimal 75 Minuten Unterricht in jedem Fach pro Woche. Meistens finden die Kurse montags und mittwochs oder dienstags und donnerstags statt. Ich hatte sogar das „Glück“, dass alle meine Kurse montags und mittwochs stattfanden und ich somit nur an diesen zwei Tagen in die Uni musste. Allerdings ist das Niveau nicht vergleichbar mit dem, was wir von Mannheim gewohnt sind. Daher kann man mit geringerem Aufwand auch sehr gute Noten erreichen. Man muss aber beachten, dass es auch sehr stark von den gewählten Fächern abhängt. So hatte ich einige Freunde, die durchaus mehr arbeiten mussten. Dennoch kann man sagen, dass der Workload geringer als in Mannheim ausfällt. Man kann aus allen Großbereichen der BWL Kurse belegen. Wichtig ist nur, dass man seine Kurse mit der Uni Mannheim abspricht, sodass man sichergeht, dass diese auch im Nachgang anerkannt werden. Die Indiana University schickt euch nach eurer Zulassung einen Kurskatalog, aus dem ihr nach Belieben eure fünf Kurse auswählen könnt. Die Vorlesungszeit ging in unserem Jahr von Ende August bis Anfang Dezember. Dazwischen gab es eine Woche Ferien aufgrund von Thanksgiving, was man idealerweise zum Reisen verwenden sollte, da die Stadt in dieser Zeit komplett leer wird, da alle Einheimischen nach Hause zu ihren Familien fahren. Theoretisch besteht auch für Internationals die Möglichkeit neben dem Studium auf dem Campus zu arbeiten. Ich habe mich damit allerdings nicht näher befasst, da es für mich nicht in Frage kam. Bezüglich des Sprachniveaus muss man sich gar keine Sorgen machen. Ich konnte allen Kursen jederzeit folgen und hatte nie Probleme mich zu verständigen.",879
886,1,"Die Kurswahl war etwas schwierig, da die englischsprachigen Master-Veranstaltungen sich überschneiden und es für mich somit nicht möglich war, mehr als zwei Kurse zu wählen. Für Mannheimer Studenten sind die Kurse des „Academic Curriculums“ relevant, da andere Kurse nicht anerkannt werden. Darüber hinaus habe ich einen Intensiv Sprachkurs zu Semesterbeginn besucht. Dieser ist mit 350€ recht teuer, lohnte sich aus meiner Sicht allerdings.",741
270,2,"Das Studium an der UNCC unterscheidet sich von Mannheimer Verhältnisses mitunter deutlich. Die Arbeitsbelastung ist wesentlich konstanter über das Semester verteilt, sodass eine große Klausurenphase am Ende ausbleibt. Durch ständige Assignments, Projects, Quizzes und Exams sowie Anwesenheitspflicht würde ich jedoch die absolute Arbeitsbelastung als ähnlich bezeichnen. Hierbei spielt natürlich auch die Kurswahl eine Rolle. Die Klassengröße beläuft sich maximal auf 30 Studierende, wobei die Zahl auch deutlich kleiner sein kann. Es gibt sowohl den klassischen Mannheimer Frontalunterricht, als auch sehr interaktive Lehrveranstaltungen. In den meisten Klassen müssen wöchentliche Assignments bzw. Quizzes erledigt werden und es werden drei Exams pro Semester gestellt, die jedoch meist nicht kumulativ sind. 
Die wichtigste Frage ist wahrscheinlich jene nach dem Niveau der UNCC. Das MBA-Niveau ist generell gut, da viele Leute bereits mehrere Jahre Arbeitserfahrung gesammelt haben, motiviert sind und die Grundlagen und Konzepte der BWL verstehen und anwenden können. Das Klausurniveau kann Mannheimer Klausuren entsprechen, wobei einem wesentlich mehr Zeit zur Beantwortung der Fragen eingeräumt wird. Nichtsdestotrotz ist in jedem Fach mit etwas „Mannheimer“-Einsatz ein A zu bewerkstelligen. Die Kurse haben größtenteils großen Spaß gemacht, wobei die Interaktion mit den Professoren hervorgehoben werden sollte, die sehr fair und jederzeit am Lernerfolg der Studierenden interessiert waren.",232
328,2,"Generell lässt sich sagen, dass die Bocconi Universität international einen sehr guten Ruf genießt, dieser jedoch aufgrund des Anspruchsniveaus und der Zeitintensivität des Studiums nicht unbegründet ist. Das Anspruchsniveau ist mit Mannheim vergleichbar. _x000D_
_x000D_
Die Universität bietet ein sehr breites Kursangebot an. Neben Fächern in Bereichen wie Finance, Management oder Accounting, kann man auch fachfremde Kurse wie beispielsweise Economic History belegen._x000D_
Die Anerkennung der ausgewählten Kurse stellte kein Problem dar, man sollte jedoch prüfen, ob es den jeweils beantragten Kurs auch im aktuellen Jahr noch gibt, da nicht alle Kurse, die vorherige Austauschstudenten belegt hatten, weiterhin zur Auswahl standen._x000D_
Die Vorlesungen waren je nach Kursgröße entweder dauerhaft in Präsenz oder abwechselnd in Präsenz und online. Aufgrund der Corona-Situation mussten wir außerdem zu Beginn jeder Vorlesung zur Kontaktverfolgung die Art der Anwesenheit (online oder offline) registrieren._x000D_
 _x000D_
Die Mensa habe ich persönlich eher selten genutzt, das Essensangebot war jedoch gut mit einer breiten Auswahl. Außerdem gibt es unmittelbar an der Universität einige Cafés, an denen man sich zwischen Vorlesungen Essen oder Getränke kaufen kann. Für die Bibliothek ist die Nutzung der yoU@B App zur Sitzplatzreservierung sehr empfehlenswert. Über diese kann man für bis zu 15 Minuten einen Sitzplatz reservieren, und erleichtert sich damit die Sitzplatzsuche vor Ort. Anschließend scannt man den QR-Code am Sitzplatz ein, damit die Belegung in der App verlängert werden kann. Dabei ist es wichtig, die Reservierung vor Ablauf der Zeit durch erneutes Scannen des QR-Codes wieder zu verlängern, da ansonsten jemand anderes den Sitzplatz reservieren und belegen kann.",277
