Epoch;Learning_rate;Batch_size;Weight_decay;F1_score
3;5,00E-05;16; 0.0; 0.5176470588235295
3;5,00E-05;16; 0.15; 0.5058823529411764
3;5,00E-05;16; 0.3; 0.5058823529411764
3;5,00E-05;8; 0.0; 0.47058823529411764
3;5,00E-05;8; 0.15; 0.5411764705882353
3;5,00E-05;8; 0.3; 0.49411764705882355
3;3,00E-05;16; 0.0; 0.5176470588235295
3;3,00E-05;16; 0.15; 0.5176470588235295
3;3,00E-05;16; 0.3; 0.5176470588235295
3;3,00E-05;8; 0.0; 0.5411764705882353
3;3,00E-05;8; 0.15; 0.5294117647058824
3;3,00E-05;8; 0.3; 0.5294117647058824
3;2,00E-05;16; 0.0; 0.47058823529411764
3;2,00E-05;16; 0.15; 0.47058823529411764
3;2,00E-05;16; 0.3; 0.47058823529411764
3;2,00E-05;8; 0.0; 0.5058823529411764
3;2,00E-05;8; 0.15; 0.49411764705882355
3;2,00E-05;8; 0.3; 0.49411764705882355
4;5,00E-05;16; 0.0; 0.5529411764705883
4;5,00E-05;16; 0.15; 0.5529411764705883
4;5,00E-05;16; 0.3; 0.5647058823529412
4;5,00E-05;8; 0.0; 0.4588235294117647
4;5,00E-05;8; 0.15; 0.5058823529411764
4;5,00E-05;8; 0.3; 0.4823529411764706
4;3,00E-05;16; 0.0; 0.5294117647058824
4;3,00E-05;16; 0.15; 0.5294117647058824
4;3,00E-05;16; 0.3; 0.5411764705882353
4;3,00E-05;8; 0.0; 0.5411764705882353
4;3,00E-05;8; 0.15; 0.5411764705882353
4;3,00E-05;8; 0.3; 0.5529411764705883
4;2,00E-05;16; 0.0; 0.49411764705882355
4;2,00E-05;16; 0.15; 0.49411764705882355
4;2,00E-05;16; 0.3; 0.49411764705882355
4;2,00E-05;8; 0.0; 0.5294117647058824
4;2,00E-05;8; 0.15; 0.5411764705882353
4;2,00E-05;8; 0.3; 0.5294117647058824
5;5,00E-05;16; 0.0; 0.49411764705882355
5;5,00E-05;16; 0.15; 0.5058823529411764
5;5,00E-05;16; 0.3; 0.5058823529411764
5;5,00E-05;8; 0.0; 0.49411764705882355
5;5,00E-05;8; 0.15; 0.5294117647058824
5;5,00E-05;8; 0.3; 0.5294117647058824
5;3,00E-05;16; 0.0; 0.5176470588235295
5;3,00E-05;16; 0.15; 0.49411764705882355
5;3,00E-05;16; 0.3; 0.5176470588235295
5;3,00E-05;8; 0.0; 0.5764705882352941
5;3,00E-05;8; 0.15; 0.5529411764705883
5;3,00E-05;8; 0.3; 0.5529411764705883
5;2,00E-05;16; 0.0; 0.47058823529411764
5;2,00E-05;16; 0.15; 0.47058823529411764
5;2,00E-05;16; 0.3; 0.47058823529411764
5;2,00E-05;8; 0.0; 0.5294117647058824
5;2,00E-05;8; 0.15; 0.5294117647058824
5;2,00E-05;8; 0.3; 0.5411764705882353
